uic;name;lon;lat
1000331;Pyhäsalmi;25.982409;63.68287
1000334;Vihanti;24.993542;64.484133
1000337;Ruukki;25.098159;64.660388
1000347;Kemi;24.574281;65.736676
1000356;Pello;23.992864;66.784137
1000358;Kolari;23.835976;67.348866
1000361;Tervola;24.772217;66.081597
1000363;Muurola;25.375092;66.370794
1000364;Rovaniemi;25.705369;66.498085
1000366;Misi;26.686478;66.617866
1000367;Kemijärvi;27.403636;66.724119
1000370;Oulu/Uleaborg;25.484183;65.011331
1000375;Muhos;25.991142;64.805456
1000376;Utajärvi;26.413668;64.758869
1000377;Vaala;26.84269;64.557955
1000379;Paltamo;27.822404;64.400665
1000387;Kajaani;27.738569;64.219814
1000390;Kontiomäki;28.113875;64.338669
1000400;Pieksämäki;27.166947;62.301409
1000404;Suonenjoki;27.124965;62.623685
1000408;Kuopio;27.681899;62.897192
1000413;Siilinjärvi;27.666493;63.075021
1000416;Lapinlahti;27.39348;63.360834
1000417;Kiuruvesi;26.61099;63.64102
1000420;Iisalmi/Iidensalmi;27.200818;63.560316
1000424;Sukeva;27.422369;63.864724
1000427;Hankasalmi;26.478338;62.302661
1000432;Varkaus;27.873774;62.312428
1000437;Heinävesi;28.643535;62.38254
1000438;Vihtari;29.029441;62.380642
1000440;Viinijärvi;29.235928;62.641916
1000453;Kitee;30.048509;62.142289
1000461;Joensuu;29.776425;62.599622
1000464;Eno;30.141517;62.806454
1000465;Uimaharju;30.24152;62.912449
1000467;Vuonislahti;29.992923;63.152311
1000468;Lieksa;30.016429;63.318204
1000472;Nurmes;29.137845;63.541048
1000477;Kausala;26.330109;60.885341
1000478;Koria;26.601582;60.847314
1000480;Kouvola;26.704953;60.865947
1000495;Lappeenranta/Villmanstrand;28.195124;61.048108
1000499;Joutseno;28.492162;61.121335
1000507;Simpele;29.371204;61.425361
1000510;Parikkala;29.502808;61.558499
1000517;Punkaharju;29.382334;61.761186
1000519;Pääskylahti;28.965544;61.821039
1000521;Savonlinna/Nyslott;28.887498;61.868995
1000522;Kerimäki;29.113812;61.861418
1000530;Inkeroinen;26.839198;60.696789
1000532;Kotka;26.927396;60.464845
1000534;Kymi;26.936671;60.565335
1000536;Myllykoski;26.787838;60.770027
1000544;Mäntyharju;26.8817;61.421405
1000546;Mikkeli/St. Michel;27.278001;61.687796
1000551;Pukinmäki;24.993907;60.242176
1000552;Tapanila;25.02834;60.262282
1000553;Puistola;25.036772;60.275933
1000554;Rekola;25.068317;60.332294
1000555;Savio;25.097853;60.380636
1000556;Hiekkaharju;25.049472;60.303394
1000559;Koivukyla;25.060386;60.323652
1000576;Siuntio;24.221871;60.140522
1000578;Jorvas;24.511859;60.137482
1000579;Tuomarila;24.680947;60.206073
1000580;Kilo;24.781529;60.217827
1000595;Nastola;25.93533;60.935593
1000603;Imatra;28.776519;61.195965
1000621;Kera;24.753635;60.216094
1000623;Eläinpuisto-Zoo;24.190763;62.540788
1000627;Juupajoki;24.365133;61.796841
1000628;Ainola;25.08242;60.453848
1000644;Kotkan satama;26.939442;60.468367
1000657;Pohjois-Haaga;24.883559;60.230392
1000658;Kannelmäki;24.876656;60.239659
1000659;Malminkartano;24.861175;60.249472
1000660;Myyrmäki;24.854678;60.261309
1000661;Louhela;24.853415;60.270914
1000662;Martinlaakso;24.852797;60.278123
1000675;Koivuhovi;24.702673;60.20699
1000690;Lusto;29.322124;61.800573
1000693;Mäkkylä;24.842533;60.220988
1000768;Paimenportti;26.918986;60.474619
1000769;Kempele;25.514395;64.911926
1000789;Ylitornio;23.682425;66.324502
1000793;Retretti;29.294872;61.803138
1000806;Saunakallio;25.066186;60.48712
1000817;Skogby;23.311057;59.926119
1000827;Santala;23.121586;59.875026
1000830;Tolsa;24.473205;60.118678
1000837;Tavastila;26.95442;60.572981
1000839;Vantaankoski;24.848108;60.285942
1000847;Valimo;24.876394;60.222041
1000848;Kohtavaara;29.287126;63.514697
1000879;Hanko Pohjoinen;22.987819;59.82999
1000886;Runni;26.886613;63.602085
1000937;Kylänlahti;29.753165;63.361463
1000938;Holjakka;29.444068;63.454844
1000966;Kesälathi;29.80328;61.887858
1000968;Tikkurila;25.044835;60.292975
1000977;Käpylä;24.946687;60.220178
1000981;Kyminlinna;26.897401;60.507696
1000988;Hillosensalmi;26.78782;61.195317
1001009;Tampere, Rautatieasema;23.772472;61.498663
1001012;Haarajoki;25.133972;60.497144
1001058;Tervajoki Vr Bussi;22.143902;63.004667
1001139;Kuopio, Linja-autoasema;27.678455;62.89838
1001272;Tampere/Tammerfors, Bus;23.769477;61.493625
1001285;Turku/Abo, Linja-autoasema;22.253333;60.453364
1001316;Orivesi Keskusta;24.370219;61.674187
1001330;Kivistö;24.846268;60.314294
1001331;Vantaa Aviapolis;24.955005;60.302626
1001333;Leinelä;25.044455;60.285551
1001337;Vehkala;24.906371;60.266831
1001741;Henna;25.497981;60.802776
1001769;Tesoma;23.630203;61.503309
1002330;Helsinki Olympiaterminal;24.958723;60.160847
1002331;Helsinki Katajanokka;24.969361;60.163382
